Number,Portfolio,Commonwealth body name ,Type of body ,Accountable authority or governing board ,Economic sector,AITS_LInk
54,"Health, Disability and Ageing ",Food Standards Australia New Zealand ,Corporate Commonwealth entity ,"Board – Food Standards Australia New Zealand Act 1991 sections 12, 115-116 with reference to section 127 ",General Govt Sector ,https://www.foodstandards.gov.au/about-us/corporate-information/ai-transparency-statement
55,"Health, Disability and Ageing ",Independent Health and Aged Care Pricing Authority ,Corporate Commonwealth entity ,Chief Executive Officer – National Health Reform Act 2011 section 163(4) ,General Govt Sector ,https://www.ihacpa.gov.au/sites/default/files/2025-02/ihacpa_ai_transparency_statement_0.pdf
56,Home Affairs ,Australian Institute of Criminology ,Non-corporate Commonwealth entity ,Director – Criminology Research Act 1971 section 35(c) ,General Govt Sector ,https://www.aic.gov.au/about-us/artificial-intelligence-ai-transparency-statement
57,Home Affairs ,National Emergency Management Agency ,Non-corporate Commonwealth entity ,"Coordinator-General – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 12A(c) ",General Govt Sector ,https://www.nema.gov.au/about-us/privacy-disclosures
58,"Industry, Science and Resources ","Department of Industry, Science and Resources ",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.industry.gov.au/publications/artificial-intelligence-transparency-statement
59,"Industry, Science and Resources ",Geoscience Australia ,Non-corporate Commonwealth entity ,"Chief Executive Officer – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 11(c) ",General Govt Sector ,https://www.ga.gov.au/about/corporate-documents/ai-transparency-statement
60,"Industry, Science and Resources ",IP Australia ,Non-corporate Commonwealth entity ,"Director-General – Public Governance, Performance and Accountability Rule 2014 schedule 1 item 12(c) ",General Govt Sector ,https://www.ipaustralia.gov.au/about-us/~/-/media/Project/IPA/IPAustralia/PDF/Accountability-and-reporting/AI-Transparency-Statement.pdf?rev=25c73a541ecd4d7fac06b0dfd4659d0b
61,"Industry, Science and Resources ",Net Zero Economy Authority ,Non-corporate Commonwealth entity ,Board of the Authority – Net Zero Economy Authority Act 2024 section 14(2)(b) ,General Govt Sector ,https://www.netzero.gov.au/artificial-intelligence-transparency-statement
62,"Industry, Science and Resources ",Commonwealth Scientific and Industrial Research Organisation ,Corporate Commonwealth entity ,"Board of the Organisation – Science and Industry Research Act 1949 sections 8, 11-14A with reference to section 22(2) note ",General Govt Sector ,https://www.csiro.au/en/about/Policies/Artificial-Intelligence-Statement
63,"Industry, Science and Resources ",National Offshore Petroleum Safety and Environmental Management Authority (NOPSEMA) ,Corporate Commonwealth entity ,Chief Executive Officer – Offshore Petroleum and Greenhouse Gas Storage Act 2006 section 666(3) ,General Govt Sector ,https://www.nopsema.gov.au/about/ai-transparency-statement
64,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ","Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.infrastructure.gov.au/about-us/artificial-intelligence-transparency-statement
65,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Australian Communications and Media Authority (ACMA) ,Non-corporate Commonwealth entity ,Chair – Australian Communications and Media Authority Act 2005 section 6(2)(b) ,General Govt Sector ,https://www.acma.gov.au/planning-and-priorities
66,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Australian Transport Safety Bureau (ATSB) ,Non-corporate Commonwealth entity ,Chief Executive Officer – Transport Safety Investigation Act 2003 section 12(2)(b) ,General Govt Sector ,https://www.atsb.gov.au/ai-transparency-statement
67,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",National Archives of Australia ,Non-corporate Commonwealth entity ,The Director-General – Archives Act 1983 section 5(1A)(b) ,General Govt Sector ,https://www.naa.gov.au/about-us/who-we-are/accountability-and-reporting/artificial-intelligence-ai-transparency-statement
68,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",National Capital Authority ,Non-corporate Commonwealth entity ,The Authority – Australian Capital Territory (Planning and Land Management) Act 1988 section 5(2)(b) ,General Govt Sector ,https://www.nca.gov.au/nca-artificial-intelligence-ai-transparency-statement
69,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Sport Integrity Australia ,Non-corporate Commonwealth entity ,Chief Executive Officer – Sport Integrity Australia Act 2020 section 50F(c) ,General Govt Sector ,https://www.sportintegrity.gov.au/about-us/corporate/governance/ai-transparency
70,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Australian Maritime Safety Authority ,Corporate Commonwealth entity ,AMSA Board – Australian Maritime Safety Authority Act 1990 section 5 with reference to section 21(2) note (membership section 13) ,General Govt Sector ,https://www.amsa.gov.au/about-us/who-we-are/ai-transparency-statement
71,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",National Library of Australia ,Corporate Commonwealth entity ,"Council of the National Library of Australia – National Library Act 1960 section 5, with reference to sections 15(1) and 17E notes (membership section 10) ",General Govt Sector ,https://www.library.gov.au/visit/about-us/corporate-information/corporate-strategies/artificial-intelligence-ai-transparency
72,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",National Transport Commission ,Corporate Commonwealth entity ,"Commission – National Transport Commission Act 2003 section 5, with reference to section 19(2) note (membership section 11) ",General Govt Sector ,https://www.ntc.gov.au/artificial-intelligence-transparency-statement
73,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Northern Australia Infrastructure Facility ,Corporate Commonwealth entity ,Board of the Facility – Northern Australia Infrastructure Facility Act 2016 sections 6 and 13 with reference to section 21(3) note (membership section 15) ,General Govt Sector ,https://www.naif.gov.au/media/yxmpums3/naif-ai-transparency-statement.pdf
74,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Old Parliament House ,Corporate Commonwealth entity ,"Board of OPH – Public Governance, Performance and Accountability (Establishing Old Parliament House) Rule 2016 section 13 (membership section 18) ",General Govt Sector ,https://moadoph.gov.au/about/reports-policies-and-plans/policies-and-plans/ai-transparency-statement
75,"Infrastructure, Transport, Regional Development, Communications, Sport and the Arts ",Screen Australia ,Corporate Commonwealth entity ,"Board of Screen Australia – Screen Australia Act 2008 sections 5 and 8, with reference to section 16 note (membership section 10) ",General Govt Sector ,https://www.screenaustralia.gov.au/sa/about-us/corporate-documents/policies-(1)/ai-transparency-statement
76,Prime Minister and Cabinet ,Department of the Prime Minister and Cabinet ,Non-corporate Commonwealth entity ,"Secretary of the Department – Public Governance, Performance and Accountability Act 2013 section 12(2) item 1 ",General Govt Sector ,https://www.pmc.gov.au/about-us/accountability-and-reporting/corporate-reporting/artificial-intelligence-ai-transparency-statement
77,Prime Minister and Cabinet ,Australian National Audit Office ,Non-corporate Commonwealth entity ,Auditor-General – Auditor-General Act 1997 section 38(3)(b) ,General Govt Sector ,https://www.anao.gov.au/work/corporate/anaos-artificial-intelligence-transparency-statement
